pid,title,position,party,electorate,twitter,facebook,email,phone,aph
I0P,Senator Mark Furner,,Australian Labor Party,Queensland,,,senator.furner@aph.gov.au,(07) 3881 3710,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=I0P
7L6,Senator the Hon John Hogg,President of the Senate,Australian Labor Party,Queensland,,,senator.hogg@aph.gov.au,(07) 3843 4066,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=7L6
YW4,Senator the Hon Ian Macdonald,,Liberal Party of Australia,Queensland,,,senator.ian.macdonald@aph.gov.au,(07) 4771 3066,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=YW4
e5d,Senator Barnaby Joyce,Leader of The Nationals in the Senate,The Nationals,Queensland,,,senator.joyce@aph.gov.au,(07) 4625 1500,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=e5d
84M,Senator the Hon Brett Mason,,Liberal Party of Australia,Queensland,,,senator.mason@aph.gov.au,(07) 3422 1990,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=84M
225307,Senator Sean Edwards,,Liberal Party of Australia,South Australia,,,senator.edwards@aph.gov.au,(08) 8205 1070,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=225307
I0N,Senator the Hon Don Farrell,Parliamentary Secretary for Sustainability and Urban Water,Australian Labor Party,South Australia,,,senator.farrell@aph.gov.au,(08)  8231 8400,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=I0N
DYU,Senator David Fawcett,,Liberal Party of Australia,South Australia,,,senator.fawcett@aph.gov.au,(08) 8205 1040,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DYU
204953,Senator Alex Gallacher,,Australian Labor Party,South Australia,,,senator.gallacher@aph.gov.au,(08) 8431 1755,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=204953
N26,Senator the Hon Eric Abetz,Leader of the Opposition in the Senate,Liberal Party of Australia,Tasmania,http://twitter.com/SenatorAbetz,http://www.facebook.com/SenatorAbetz,senator.abetz@aph.gov.au,(03) 6224 3707,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=N26
HZB,Senator Catryna Bilyk,,Australian Labor Party,Tasmania,,,senator.bilyk@aph.gov.au,(03) 6229 4444,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HZB
HLL,Senator David Bushby,Deputy Opposition Whip in the Senate,Liberal Party of Australia,Tasmania,,,senator.bushby@aph.gov.au,(03) 6244 8533,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HLL
00AOL,Senator the Hon Richard Colbeck,,Liberal Party of Australia,Tasmania,,,senator.colbeck@aph.gov.au,(03) 6424 5960,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AOL
e5v,Senator Stephen Parry,Deputy President of the Senate,Chairman of Committees,Tasmania,,,senator.parry@aph.gov.au,(03) 6334 1755,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=e5v
e5x,Senator Helen Polley,Deputy Government Whip in the Senate,Australian Labor Party,Tasmania,,,senator.polley@aph.gov.au,(03) 6331 2599,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=e5x
GB6,Senator the Hon Jacinta Collins,Manager of Government Business in the Senate,Australian Labor Party,Victoria,,,senator.collins@aph.gov.au,(03) 9890 7022,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=GB6
3L6,Senator the Hon Stephen Conroy,Deputy Leader of the Government in the Senate,Australian Labor Party,Victoria,,,senator.conroy@aph.gov.au,(03) 9391 4952,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=3L6
D2I,Senator Mitch Fifield,Manager of Opposition Business in the Senate,Liberal Party of Australia,Victoria,,,senator.fifield@aph.gov.au,(03) 9584 2455,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=D2I
G1N,Senator Helen Kroger,Chief Opposition Whip in the Senate,Liberal Party of Australia,Victoria,,,senator.kroger@aph.gov.au,(03) 9888 0091,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=G1N
217571,Senator John Madigan,,Democratic Labor Party,Victoria,,,senator.madigan@aph.gov.au,(03) 5331 2321,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=217571
207825,Senator Bridget McKenzie,,The Nationals,Victoria,,,senator.mckenzie@aph.gov.au,(03) 5441 4251,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=207825
xt4,Senator the Hon Michael Ronaldson,,Liberal Party of Australia,Victoria,,,senator.ronaldson@aph.gov.au,(03) 9650 0255,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=xt4
I0Q,Senator Scott Ryan,,Liberal Party of Australia,Victoria,,,senator.ryan@aph.gov.au,(03) 9326 1088,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=I0Q
J7Q,Senator Chris Back,Deputy Opposition Whip in the Senate,Liberal Party of Australia,Western Australia,,,senator.back@aph.gov.au,(08) 9414 7288,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=J7Q
2L6,Senator Mark Bishop,,Australian Labor Party,Western Australia,,,senator.bishop@aph.gov.au,(08) 9472 6177,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=2L6
I0M,Senator Michaelia Cash,,Liberal Party of Australia,Western Australia,,,senator.cash@aph.gov.au,(08) 9226 2000,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=I0M
HDA,Senator Mathias Cormann,,Liberal Party of Australia,Western Australia,,,senator.cormann@aph.gov.au,(08) 9325 4227,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HDA
4L6,Senator Alan Eggleston,,Liberal Party of Australia,Western Australia,,,senator.eggleston@aph.gov.au,(08) 9368 6633,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=4L6
00AON,Senator the Hon David Johnston,,Liberal Party of Australia,Western Australia,,,senator.johnston@aph.gov.au,(08) 9478 2088,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=00AON
241710,Senator Dean Smith,,Liberal Party of Australia,Western Australia,,,senator.smith@aph.gov.au,(08) 9481 0349,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=241710
e68,Senator Glenn Sterle,,Australian Labor Party,Western Australia,,,senator.sterle@aph.gov.au,(08) 9455 1420,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=e68
